name	genename	timepoint	switch	pvalueSwitch	experiment	FCdown	FCup
kmo	ENSDART00000003706.8	4.5	down	0.000310847383967916	MZspg		5.0hpf 5.5hpf 6.0hpf
actr6	ENSDART00000003715.9	4.5	up	0.0617324009797988	MZspg		
prss60.2	ENSDART00000003716.7	2.5	up	0.0792667335759332	MZspg	5.5hpf 6.0hpf	
vim	ENSDART00000003745.8	4.5	up	0.00861152718425195	MZspg		4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
cfap161	ENSDART00000003748.8	5.5	down	0.0107102090072583	MZspg		
cct3	ENSDART00000003752.9	4.5	up	0.0116940238056791	MZspg		
pdpk1b	ENSDART00000003789.8	2.5	down	0.00286833866625147	MZspg		
ccm2	ENSDART00000003834.10	5	down	0.00405738526509991	MZspg		
fam199x	ENSDART00000003879.5	5	up	0.00242519938952102	MZspg		
mynn	ENSDART00000003884.9	3.5	down	0.105995450848582	MZspg		
snapc1b	ENSDART00000003888.7	5	down	0.0776436615830608	MZspg		
fbp1a	ENSDART00000003926.8	5	up	0.0305632513156965	MZspg		
midn	ENSDART00000003929.7	5	up	0.0547327817284662	MZspg	4.0hpf 5.0hpf 5.5hpf	
erbb2	ENSDART00000003932.6	5.5	up	0.00221287732084186	MZspg	2.5hpf 3.0hpf 3.5hpf	5.0hpf
syngr1a	ENSDART00000003939.7	5.5	down	0.0848698112928877	MZspg		
rab2a	ENSDART00000003940.9	5	up	0.0275994988008396	MZspg		
flot2a	ENSDART00000003947.6	5	up	0.0119362267569953	MZspg		5.5hpf 6.0hpf
tia1l	ENSDART00000003957.7	5	up	0.0100593078123102	MZspg		5.0hpf
wdr55	ENSDART00000003962.7	2.5	up	0.0732108016633298	MZspg		
rbm22	ENSDART00000003983.10	5.5	up	0.0284545245336785	MZspg		
hacl1	ENSDART00000004031.10	5.5	down	0.062602766277031	MZspg	6.0hpf	
rgl2	ENSDART00000004052.8	5.5	up	0.00511852785910427	MZspg	4.5hpf 5.0hpf 5.5hpf 6.0hpf	
znfl2a	ENSDART00000004071.7	4.5	up	0.00424689486144658	MZspg	2.5hpf 3.0hpf	
uqcc2	ENSDART00000004075.7	4	down	0.00130296441252098	MZspg		
brox	ENSDART00000004092.6	2.5	up	0.0712256749416408	MZspg	4.5hpf 5.0hpf 5.5hpf 6.0hpf 6.0hpf	
adamts18	ENSDART00000004120.11	5.5	up	0.000585812713211675	MZspg		4.5hpf 5.0hpf 5.5hpf 6.0hpf
si:ch211-160d20.3	ENSDART00000004129.9	5.5	up	0.0940718830203093	MZspg		
slc27a4	ENSDART00000004181.9	5.5	up	0.0140496941169921	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf	5.5hpf 6.0hpf
sarm1	ENSDART00000004200.11	5	down	0.132469225748875	MZspg		3.0hpf 3.5hpf 4.0hpf 4.5hpf
coro1ca	ENSDART00000004217.9	4.5	up	0.0190699572605506	MZspg		
acy3.2	ENSDART00000004233.9	2.5	up	0.0831405107623192	MZspg	4.0hpf	
prss60.1	ENSDART00000004240.8	5	up	0.0622170915399591	MZspg		
lamc1	ENSDART00000004277.8	5.5	up	0.0594250609332749	MZspg		
ift81	ENSDART00000004288.8	2.5	up	0.0785423320255807	MZspg		
zgc:112163	ENSDART00000004295.6	4	down	0.00258995633603176	MZspg		
epha4l	ENSDART00000004338.10	3.5	down	0.000664264843043938	MZspg	4.5hpf 6.0hpf	
pibf1	ENSDART00000004361.10	5	up	0.0679582610432683	MZspg		5.0hpf
tada2b	ENSDART00000004365.8	4	down	4.80176381050246e-05	MZspg		
nol10	ENSDART00000004379.7	5.5	down	0.13104623133271	MZspg		
fkbp9	ENSDART00000004392.8	2.5	up	0.0786472968723317	MZspg	5.0hpf 5.5hpf 6.0hpf	
cope	ENSDART00000004398.8	2.5	up	0.105340515174767	MZspg		
rab4a	ENSDART00000004420.9	5	up	0.02233159803047	MZspg		
