"name"	"genename"	"pvalueSwitch"	"switch"	"timepoint"	"experiment"
"ENSDART00000168842.2"	"eif2a"	0.0897087088050437	"1"	"4.0"	"MZspg"
"ENSDART00000168844.2"	"si:dkeyp-35e5.9"	0.12425056602331	"1"	"4.0"	"MZspg"
"ENSDART00000168846.2"	"CU896630.1"	0.0799926713845024	"1"	"4.0"	"MZspg"
"ENSDART00000168851.2"	"rab11fip2"	0.0913981665278418	"-1"	"3.5"	"MZspg"
"ENSDART00000168864.2"	"zgc:112146"	0.12969522643943	"1"	"4.5"	"MZspg"
"ENSDART00000168870.3"	"gpr107"	0.114891931252884	"-1"	"5.0"	"MZspg"
"ENSDART00000168872.2"	"zgc:173714"	0.106853787527219	"1"	"4.0"	"MZspg"
"ENSDART00000168879.2"	"CABZ01081752.2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168888.2"	"fastkd3"	0.0390754110217574	"-1"	"3.5"	"MZspg"
"ENSDART00000168913.2"	"cntn1a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168920.2"	"nbeab"	0.147842931441171	"-1"	"4.0"	"MZspg"
"ENSDART00000168926.2"	"mdh1ab"	0.129182774308778	"-1"	"3.5"	"MZspg"
"ENSDART00000168930.2"	"notch1a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168935.2"	"mfsd8"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168938.2"	"mif4gdb"	0.053972319313827	"-1"	"4.0"	"MZspg"
"ENSDART00000168940.2"	"zgc:113279"	0.120320676968519	"-1"	"3.0"	"MZspg"
"ENSDART00000168946.2"	"si:ch211-241b2.4"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168948.2"	"AL954741.1"	0.0997448136247456	"1"	"4.0"	"MZspg"
"ENSDART00000168951.2"	"fgf2"	0.135282151307985	"1"	"4.0"	"MZspg"
"ENSDART00000168968.2"	"si:ch73-347e22.8"	0.057704229064125	"1"	"5.0"	"MZspg"
"ENSDART00000168983.2"	"CABZ01079427.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168992.2"	"ankrd50l"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168993.3"	"spata22"	0.14972829512084	"-1"	"3.5"	"MZspg"
"ENSDART00000169015.2"	"rab6a"	0.143234282965149	"1"	"4.5"	"MZspg"
"ENSDART00000169018.2"	"CABZ01102170.1"	0.13937668153677	"-1"	"3.0"	"MZspg"
"ENSDART00000169022.2"	"hmgn2"	0.143872373446219	"1"	"4.5"	"MZspg"
"ENSDART00000169025.3"	"pcxa"	0.0751006750947104	"-1"	"4.0"	"MZspg"
"ENSDART00000169026.2"	"jak2a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169028.2"	"afg3l2"	0.0156186781810541	"-1"	"3.5"	"MZspg"
"ENSDART00000169036.2"	"srsf11"	0.0813335071422112	"1"	"4.0"	"MZspg"
"ENSDART00000169037.2"	"inpp5ka"	0.0527298500519759	"-1"	"4.5"	"MZspg"
"ENSDART00000169040.2"	"MGARP"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169047.2"	"samd1a"	0.136737313592811	"-1"	"3.5"	"MZspg"
"ENSDART00000169060.2"	"si:ch211-212k18.5"	0.0580828406582573	"1"	"4.5"	"MZspg"
"ENSDART00000169065.2"	"zgc:109744"	0.0937332130867727	"1"	"4.0"	"MZspg"
"ENSDART00000169073.2"	"pde6c"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169076.2"	"SRBD1"	0.0833203941963946	"-1"	"5.0"	"MZspg"
"ENSDART00000169093.4"	"csrp3"	0.0997987282498088	"1"	"5.0"	"MZspg"
"ENSDART00000169100.2"	"glg1b"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169106.2"	"ATE1"	0.138039306677019	"-1"	"4.5"	"MZspg"
"ENSDART00000169133.2"	"znf1155"	0.116359734606338	"1"	"5.0"	"MZspg"
"ENSDART00000169141.2"	"tbl1xr1a"	0.0539964927148299	"1"	"5.0"	"MZspg"
"ENSDART00000169165.2"	"LO018021.1"	0.0757657503918672	"1"	"4.0"	"MZspg"
"ENSDART00000169175.2"	"SNTA1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169180.2"	"trpc4apb"	0.131216883935275	"1"	"4.5"	"MZspg"
"ENSDART00000169189.2"	"si:dkey-269o24.6"	0.0652207912010742	"1"	"4.0"	"MZspg"
"ENSDART00000169198.2"	"adgrd2"	0.0929246838270356	"-1"	"4.5"	"MZspg"
"ENSDART00000169206.2"	"mib2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169209.2"	"ptrh1"	0.0938680419579359	"-1"	"3.5"	"MZspg"
"ENSDART00000169211.2"	"cdh1"	0.118826593277328	"1"	"5.0"	"MZspg"
"ENSDART00000169235.2"	"fhdc2"	0.0879064624824459	"-1"	"3.5"	"MZspg"
"ENSDART00000169240.2"	"pltp"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169242.2"	"EPHB3"	0.135511973266191	"1"	"4.5"	"MZspg"
"ENSDART00000169266.2"	"si:dkeyp-44b5.5"	0.109840559316459	"1"	"4.5"	"MZspg"
"ENSDART00000169271.2"	"btr23"	0.098577646526974	"1"	"3.5"	"MZspg"
"ENSDART00000169273.2"	"ppp1r21"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169275.2"	"sdad1"	0.114908091406561	"1"	"4.0"	"MZspg"
"ENSDART00000169288.2"	"zgc:174275"	0.0741051843717067	"1"	"4.5"	"MZspg"
"ENSDART00000169295.3"	"ero1b"	0.131447012650234	"-1"	"4.0"	"MZspg"
"ENSDART00000169312.2"	"cmtm6"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169316.2"	"asap1a"	0.115878311481948	"1"	"4.5"	"MZspg"
"ENSDART00000169317.2"	"uhrf1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169325.2"	"nup85"	0.137945240673109	"1"	"5.0"	"MZspg"
"ENSDART00000169327.2"	"kcnh1a"	0.132060396343059	"1"	"4.5"	"MZspg"
"ENSDART00000169328.2"	"plppr1"	0.108647039751432	"1"	"3.5"	"MZspg"
"ENSDART00000169337.2"	"ier2a"	0.11355945591873	"1"	"4.5"	"MZspg"
"ENSDART00000169350.2"	"KIF1C"	0.138529884927274	"-1"	"4.0"	"MZspg"
"ENSDART00000169367.2"	"si:ch1073-325m22.2"	0.146191585008786	"1"	"4.5"	"MZspg"
"ENSDART00000169376.2"	"plekhg5b"	0.0978030689131534	"1"	"5.5"	"MZspg"
"ENSDART00000169380.2"	"slc25a43"	NA	"0"	" NA"	"MZspg"
